Continent_Name,Country_Name,Three_Letter_Country_Code
North America,Honduras,HND
Asia,Hong Kong,HKG
Europe,Hungary,HUN
Europe,Iceland,ISL
Asia,India,IND
Asia,Indonesia,IDN
Asia,Iran,IRN
Asia,Iraq,IRQ
Europe,Ireland,IRL
Asia,Israel,ISR
Europe,Italy,ITA
Africa,Cote d'Ivoire,CIV
North America,Jamaica,JAM
Asia,Japan,JPN
Europe,Kazakhstan,KAZ
Asia,Kazakhstan,KAZ
Asia,Jordan,JOR
Africa,Kenya,KEN
Asia,Korea,PRK
Asia,Korea,KOR
Asia,Kuwait,KWT
Asia,Kyrgyz Republic,KGZ
Asia,Lao People's Democratic Republic,LAO
Asia,Lebanon,LBN
Africa,Lesotho,LSO
Europe,Latvia,LVA
Africa,Liberia,LBR
Africa,Libyan Arab Jamahiriya,LBY
Europe,Liechtenstein,LIE
Europe,Lithuania,LTU
Europe,Luxembourg,LUX
Asia,Macao,MAC
Africa,Madagascar,MDG
Africa,Malawi,MWI
Asia,Malaysia,MYS
Asia,Maldives,MDV
Africa,Mali,MLI
Europe,Malta,MLT
North America,Martinique,MTQ
Africa,Mauritania,MRT
Africa,Mauritius,MUS
North America,Mexico,MEX
Europe,Monaco,MCO
Asia,Mongolia,MNG
Europe,Moldova,MDA
Europe,Montenegro,MNE
North America,Montserrat,MSR
Africa,Morocco,MAR
Africa,Mozambique,MOZ
Asia,Oman,OMN
Africa,Namibia,NAM
Oceania,Nauru,NRU
Asia,Nepal,NPL
Europe,Netherlands,NLD
North America,Netherlands Antilles,ANT
North America,Cura̤ao,CUW
North America,Aruba,ABW
North America,Sint Maarten (Netherlands),SXM
North America,Bonaire,BES
Oceania,New Caledonia,NCL
Oceania,Vanuatu,VUT
Oceania,New Zealand,NZL
North America,Nicaragua,NIC
Africa,Niger,NER
Africa,Nigeria,NGA
Oceania,Niue,NIU
Oceania,Norfolk Island,NFK
Europe,Norway,NOR
Oceania,Northern Mariana Islands,MNP
Oceania,United States Minor Outlying Islands,UMI
North America,United States Minor Outlying Islands,UMI
Oceania,Micronesia,FSM
Oceania,Marshall Islands,MHL
Oceania,Palau,PLW
Asia,Pakistan,PAK
North America,Panama,PAN
Oceania,Papua New Guinea,PNG
South America,Paraguay,PRY
South America,Peru,PER
Asia,Philippines,PHL
Oceania,Pitcairn Islands,PCN
Europe,Poland,POL
Europe,Portugal,PRT
Africa,Guinea-Bissau,GNB
Asia,Timor-Leste,TLS
North America,Puerto Rico,PRI
Asia,Qatar,QAT
Africa,Reunion,REU
Europe,Romania,ROU
Europe,Russian Federation,RUS
Asia,Russian Federation,RUS
Africa,Rwanda,RWA
North America,Saint Barthelemy,BLM
Africa,Saint Helena,SHN
North America,Saint Kitts and Nevis,KNA
North America,Anguilla,AIA
North America,Saint Lucia,LCA
North America,Saint Martin,MAF
North America,Saint Pierre and Miquelon,SPM
North America,Saint Vincent and the Grenadines,VCT
Europe,San Marino,SMR
Africa,Sao Tome and Principe,STP
Asia,Saudi Arabia,SAU
Africa,Senegal,SEN
Europe,Serbia,SRB
Africa,Seychelles,SYC
Africa,Sierra Leone,SLE
Asia,Singapore,SGP
Europe,Slovakia (Slovak Republic),SVK
Asia,Vietnam,VNM
Europe,Slovenia,SVN
Africa,Somalia,SOM
Africa,South Africa,ZAF
Africa,Zimbabwe,ZWE
Europe,Spain,ESP
Africa,South Sudan,SSD
Africa,Western Sahara,ESH
Africa,Sudan,SDN
South America,Suriname,SUR
Europe,Svalbard & Jan Mayen Islands,SJM
Africa,Swaziland,SWZ
Europe,Sweden,SWE
Europe,Switzerland,CHE
Asia,Syrian Arab Republic,SYR
Asia,Tajikistan,TJK
Asia,Thailand,THA
Africa,Togo,TGO
Oceania,Tokelau,TKL
Oceania,Tonga,TON
North America,Trinidad and Tobago,TTO
Asia,United Arab Emirates,ARE
Africa,Tunisia,TUN
Europe,Turkey,TUR
Asia,Turkey,TUR
Asia,Turkmenistan,TKM
North America,Turks and Caicos Islands,TCA
Oceania,Tuvalu,TUV
Africa,Uganda,UGA
Europe,Ukraine,UKR
Europe,Macedonia,MKD
Africa,Egypt,EGY
Europe,United Kingdom of Great Britain & Northern Ireland,GBR
Europe,Guernsey,GGY
Europe,Jersey,JEY
Europe,Isle of Man,IMN
Africa,Tanzania,TZA
North America,United States of America,USA
North America,United States Virgin Islands,VIR
Africa,Burkina Faso,BFA
South America,Uruguay,URY
Asia,Uzbekistan,UZB
South America,Venezuela,VEN
Oceania,Wallis and Futuna,WLF
Oceania,Samoa,WSM
Asia,Yemen,YEM
Africa,Zambia,ZMB
